rank,company,country,sales,profit,assets,marketvalue
1,Berkshire Hathaway,United States,276.09,89.8,958.78,741.48
2,ICBC,China,208.13,54.03,5518.51,214.43
3,Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,400.38,105.36,576.04,2292.08
4,JPMorgan Chase,United States,124.54,42.12,3954.69,374.45
5,China Construction Bank,China,202.07,46.89,4746.95,181.32
6,Amazon,United States,469.82,33.36,420.55,1468.4
7,Apple,United States,378.7,100.56,381.19,2640.32
8,Agricultural Bank of China,China,181.42,37.38,4561.05,133.38
9,Bank of America,United States,96.83,31,3238.22,303.1
10,Toyota Motor,Japan,281.75,28.15,552.46,237.73
11,Alphabet,United States,257.49,76.03,359.27,1581.72
12,Microsoft,United States,184.9,71.19,340.39,2054.37
13,Bank of China,China,152.43,33.57,4192.84,117.83
14,Samsung Group,South Korea,244.16,34.27,358.88,367.26
15,ExxonMobil,United States,280.51,23.04,338.92,359.73
16,Shell,United Kingdom,261.76,20.27,404.38,211.1
17,Ping An Insurance Group,China,181.37,15.74,1587.11,121.69
18,Wells Fargo,United States,84.12,20.58,1939.71,176.77
19,Verizon Communications,United States,134.35,21.52,366.6,218.02
20,AT&T,United States,163.03,17.33,551.62,141.79
21,PetroChina,China,380.31,14.29,392.6,142.3
21,UnitedHealth Group,United States,297.55,17.45,221.24,490.15
23,Walmart,United States,572.75,13.67,244.86,431.64
24,China Merchants Bank,China,71.07,18.58,1451.2,167.32
25,Volkswagen Group,Germany,295.73,17.54,638.26,82.4
26,Chevron,United States,156.29,15.63,239.53,316.23
27,Citigroup,United States,79.94,18.23,2394.11,101.48
28,Tencent Holdings,China,86.86,34.94,252.99,414.28
29,Total,France,185.12,16.14,293.46,127.32
30,Postal Savings Bank Of China (PSBC),China,77.61,11.33,1975.08,125.53
31,China Mobile,Hong Kong,131.49,17.97,283.37,147.05
32,Comcast,United States,116.39,14.16,275.9,205.72
33,Alibaba Group,China,129.76,10.17,276.25,237.78
34,Meta Platforms,United States,117.93,39.37,165.99,499.86
35,Allianz,Germany,138.62,7.81,1324.62,96.42
36,Morgan Stanley,United States,60.22,14.58,1222.23,150.95
37,Goldman Sachs Group,United States,62.81,18.74,1589,109.32
38,HSBC Holdings,United Kingdom,59.33,12.58,2957.94,135.3
39,Johnson & Johnson,United States,94.88,19.83,182.02,477.38
40,BNP Paribas,France,127.42,9.85,2995.89,68.76
41,Mercedes-Benz Group,Germany,178.94,27.19,295.48,74.62
42,CVS Health,United States,291.98,7.91,240.5,133.53
43,Pfizer,United States,81.49,21.98,181.48,271.83
44,Softbank,Japan,96.86,20.87,418.94,71.69
45,Sinopec,China,384.82,11.04,292.05,80.81
46,Nestlé,Switzerland,95.25,18.49,152.71,360.01
47,RBC,Canada,45.24,13,1377.94,147.92
48,AXA Group,France,145.19,8.39,839.85,65.75
49,Gazprom,Russia,117.3,25.44,360.47,63.56
50,BP,United Kingdom,158.01,7.55,287.27,98.38
51,Intel,United States,79.02,19.87,168.41,190.29
52,Nippon Telegraph & Tel,Japan,110.39,10.15,204.46,103.98
53,Reliance Industries,India,86.85,7.81,192.59,228.63
53,TD Bank Group,Canada,38.51,11.78,1398.48,132.99
55,Industrial Bank,China,60.53,12.82,1350.32,68.59
56,Sony,Japan,89.9,7.99,260.48,108.84
57,Taiwan Semiconductor,Taiwan,61.47,23.63,139.35,494.6
58,Santander,Spain,78.22,9.6,1814.78,58.21
59,Mitsubishi UFJ Financial,Japan,48.28,11.29,3176.37,75.75
59,Ford Motor,United States,136.34,17.94,257.04,60.8
59,LVMH Moët Hennessy Louis Vuitton,France,75.9,14.23,142.5,346.8
62,Bank of Communications,China,76,12.98,1830.4,52.82
63,Procter & Gamble,United States,79.62,14.6,120.22,386.53
64,BMW Group,Germany,131.48,14.64,277.28,55.98
65,Petrobras,Brazil,83.89,19.77,174.68,83.98
66,Deutsche Telekom,Germany,128.59,4.93,340.56,91.72
67,AbbVie,United States,56.2,11.46,146.53,273.76
68,Novartis,Switzerland,51.63,24.14,135.88,200.73
69,General Motors,United States,127,10.02,244.72,57.89
70,Equinor,Norway,88.37,8.57,147.12,117.87
71,China Life Insurance,China,130.5,7.87,769.88,43.02
72,Roche Holding,Switzerland,68.69,15.24,101.32,308.14
73,AIA Group,Hong Kong,45.16,7.43,334.88,120.19
74,MetLife,United States,71.08,6.55,759.71,57.39
75,BHP Group,Australia,65.55,16.92,105.72,178.07
76,The Home Depot,United States,151.16,16.43,71.88,310.13
77,Siemens,Germany,76.46,6.55,164.22,102.23
77,American Express,United States,46.29,7.86,196,136.72
79,Stellantis,Netherlands,176.61,16.78,195.33,44.26
80,Zurich Insurance Group,Switzerland,69.58,5.21,410.15,69.22
81,Rosneft,Russia,111.4,11.98,219.41,48.79
82,Rio Tinto,United Kingdom,63.46,21.06,102.9,117.78
83,Brookfield Asset Management,Canada,78.82,3.97,391,80.94
84,Cigna,United States,174.27,5.37,151.02,81.2
85,Prudential Financial,United States,70.93,7.61,937.58,43.6
86,PepsiCo,United States,79.47,7.62,92.38,238.13
87,Merck & Co.,United States,50.37,13.05,105.69,213.83
88,Anthem,United States,144.35,6.24,100.49,121.25
89,Bank of Nova Scotia,Canada,30.35,7.96,979.3,80.58
90,American International Group,United States,52.06,9.39,521.83,48.73
91,Glencore International,Switzerland,203.41,5,127.51,79.9
92,Cisco Systems,United States,51.55,11.82,94.26,213.36
93,Anheuser-Busch InBev,Belgium,54.33,4.66,219.37,118.52
94,Walt Disney,United States,72.98,3.08,203.31,215.33
95,Chubb,Switzerland,40.95,8.54,181.75,87.31
96,CITIC,Hong Kong,91.21,9.03,1370.59,31.96
96,Lloyds Banking Group,United Kingdom,58.48,7.36,1200.75,41.34
98,IBM,United States,67.25,5.52,133.28,124.33
99,Sanofi,France,44.63,7.36,136.74,136.86
100,United Parcel Service,United States,97.2,12.89,69.41,163.03
